scorer,,,Carlos Mosquera,Carlos Mosquera,Carlos Mosquera,Carlos Mosquera,Carlos Mosquera,Carlos Mosquera,Carlos Mosquera,Carlos Mosquera
bodyparts,,,pdi,pdi,pdd,pdd,pti,pti,ptd,ptd
coords,,,x,y,x,y,x,y,x,y
labeled-data,88f6f0c5-4532-4e57-9517-8c142d11ba43 (1),img0028.png,235.387283726551,151.63546351965635,223.65062474384473,164.93701036672354,193.1353113888082,158.67745890928023,176.70398881301935,150.85301958747607
labeled-data,88f6f0c5-4532-4e57-9517-8c142d11ba43 (1),img0030.png,241.64683518399437,151.63546351965635,215.82618542204045,163.37212250236274,,,,
labeled-data,88f6f0c5-4532-4e57-9517-8c142d11ba43 (1),img0090.png,341.017214570908,171.9790057563472,364.49053253632064,175.10878148506885,297.20035436880437,166.50189823108428,278.4216999964742,180.58588901033193
labeled-data,88f6f0c5-4532-4e57-9517-8c142d11ba43 (1),img0105.png,,,362.92564467195984,173.543893620708,307.37212548714984,157.1125710449192,297.98279830098477,172.76144968852805
labeled-data,88f6f0c5-4532-4e57-9517-8c142d11ba43 (1),img0112.png,,,384.0516308408312,174.32633755288884,322.2385601985779,171.97900575634765,301.1125740297065,175.1087814850693
labeled-data,88f6f0c5-4532-4e57-9517-8c142d11ba43 (1),img0150.png,455.25402866924964,197.7996555183015,438.8227060934608,196.23476765394065,,,427.08604711075446,177.45611328161056
labeled-data,88f6f0c5-4532-4e57-9517-8c142d11ba43 (1),img0252.png,,,,,303.45990582624773,189.97521619649734,,
labeled-data,88f6f0c5-4532-4e57-9517-8c142d11ba43 (1),img0345.png,189.22309172790608,164.15456643454348,173.57421308429764,155.5476831805588,,,204.87197037151455,160.24234677364132
labeled-data,88f6f0c5-4532-4e57-9517-8c142d11ba43 (1),img0364.png,212.69640969331877,177.4561132816106,190.0055356600865,175.8912254172498,,,,
labeled-data,88f6f0c5-4532-4e57-9517-8c142d11ba43 (1),img0465.png,489.6815616851882,177.4561132816105,516.2846553793225,182.150776874693,445.08225755090416,164.93701036672377,419.26160778895024,175.8912254172497
labeled-data,88f6f0c5-4532-4e57-9517-8c142d11ba43 (1),img0476.png,510.02510392187924,182.15077687469307,533.4984218872919,189.97521619649723,470.9029073128581,167.28434216326502,445.86470148308456,175.8912254172497
labeled-data,88f6f0c5-4532-4e57-9517-8c142d11ba43 (1),img0700.png,85.15804874790996,181.36833294251278,78.89849729046658,168.0667860954456,,,59.33739898595603,171.97900575634776
labeled-data,88f6f0c5-4532-4e57-9517-8c142d11ba43 (1),img0728.png,188.44064779572568,186.8454404677757,219.73840508294256,171.97900575634765,126.62757715347233,188.4103283321366,114.10847423858557,175.8912254172498
labeled-data,88f6f0c5-4532-4e57-9517-8c142d11ba43 (1),img0812.png,595.3114925295453,175.1087814850692,575.7503942250346,193.88743585739934,,,,
labeled-data,88f6f0c5-4532-4e57-9517-8c142d11ba43 (1),img0885.png,193.1353113888082,218.92564168717303,237.73461552309226,235.35696426296187,353.53631748579477,239.26918392386392,311.28434514805195,218.92564168717297
labeled-data,88f6f0c5-4532-4e57-9517-8c142d11ba43 (1),img0952.png,,,,,,,162.61999803377174,183.71566473905403
labeled-data,88f6f0c5-4532-4e57-9517-8c142d11ba43 (1),img0990.png,288.5934711148197,146.15835599439373,289.37591504700015,156.3301271127392,230.69262013346847,157.11257104491966,220.520849015123,152.4179074518371
labeled-data,88f6f0c5-4532-4e57-9517-8c142d11ba43 (1),img1110.png,476.38001483812104,229.8798567376988,462.29602405887346,218.14319775499246,337.8874388421863,211.10120236536875,363.70808860414024,233.79207639860095
labeled-data,88f6f0c5-4532-4e57-9517-8c142d11ba43 (1),img1120.png,505.3304403287966,208.75387056882738,488.8991177530078,235.35696426296175,397.3531776878984,231.4447446020597,454.47158473706924,240.83407178822472
labeled-data,88f6f0c5-4532-4e57-9517-8c142d11ba43 (1),img1140.png,502.200664600075,211.10120236536864,486.5517859564665,200.92943124702316,535.8457536838331,223.62030528025542,,
labeled-data,88f6f0c5-4532-4e57-9517-8c142d11ba43 (1),img1200.png,283.8988075217372,197.79965551830156,303.45990582624773,197.79965551830182,370.75008399376406,197.79965551830188,,
labeled-data,88f6f0c5-4532-4e57-9517-8c142d11ba43 (1),img1204.png,288.5934711148197,202.49431911138433,256.5132698954224,186.8454404677759,348.8416538927123,199.36454338266242,341.0172145709081,182.93322080687358
labeled-data,88f6f0c5-4532-4e57-9517-8c142d11ba43 (1),img1232.png,170.44443735557599,179.02100114597152,202.5246385749733,197.01721158612122,287.81102718263935,201.71187517920373,259.6430456241442,184.49810867123443
labeled-data,88f6f0c5-4532-4e57-9517-8c142d11ba43 (1),img1316.png,249.47127450579862,153.982795316198,274.50948033557216,153.98279531619795,216.6086293542209,154.7652392483784,197.82997498189079,161.02479070582177
labeled-data,88f6f0c5-4532-4e57-9517-8c142d11ba43 (1),img1320.png,281.551475725196,141.46369240131122,265.12015314940714,157.89501497710006,226.78040047256638,146.1583559943938,215.82618542204048,155.54768318055886
labeled-data,88f6f0c5-4532-4e57-9517-8c142d11ba43 (1),img1400.png,310.5019012158716,193.10499192521905,,,361.36075680759905,191.5401040608582,336.32255097782553,191.5401040608582
labeled-data,88f6f0c5-4532-4e57-9517-8c142d11ba43 (1),img1485.png,402.047841280981,161.80723463800217,384.8340747730117,157.89501497710006,470.12046338067773,163.37212250236257,446.6471454152651,153.20035138401715
