scorer,,,Carlos Mosquera,Carlos Mosquera,Carlos Mosquera,Carlos Mosquera,Carlos Mosquera,Carlos Mosquera,Carlos Mosquera,Carlos Mosquera
bodyparts,,,pdi,pdi,pdd,pdd,pti,pti,ptd,ptd
coords,,,x,y,x,y,x,y,x,y
labeled-data,Chirivia_de_palmarito,img0000.png,268.24992887812874,205.62409484010544,259.64304562414407,198.58209945048168,310.50190121587156,209.5363145010075,304.24234975842813,199.36454338266202
labeled-data,Chirivia_de_palmarito,img0056.png,281.5514757251959,241.61651572040483,263.5552652850462,227.5325249411573,316.7614526733149,235.3569642629614,,
labeled-data,Chirivia_de_palmarito,img0168.png,284.6812514539176,245.52873538130694,276.85681213211336,255.70050649965248,362.1432007397794,256.4829504318327,359.01342501105773,237.7042960595026
labeled-data,Chirivia_de_palmarito,img0252.png,226.78040047256636,257.2653943640137,229.91017620128804,298.7349227695761,362.1432007397794,301.0822545661173,,
labeled-data,Chirivia_de_palmarito,img0270.png,222.86818081166425,265.0898336858179,363.70808860414024,290.12803951559147,329.28055558820165,272.9142730076221,,
labeled-data,Chirivia_de_palmarito,img0280.png,231.4750640656489,290.91048344777187,,,365.2729764685011,317.51357714190624,335.540107045645,303.4295863626586
labeled-data,Chirivia_de_palmarito,img0480.png,221.3032929473034,185.28055260341486,237.73461552309226,194.66987978957994,296.4179104366239,189.97521619649743,284.6812514539176,179.0210011459715
labeled-data,Chirivia_de_palmarito,img0560.png,120.36802569602897,216.5783098906318,95.32981986625545,204.84165090792547,128.19246501783317,204.059206975745,,
labeled-data,Chirivia_de_palmarito,img0728.png,308.9370133515107,200.1469873148429,334.7576631134646,198.58209945048205,261.2079334885049,193.88743585739954,261.9903774206854,207.18898270446672
labeled-data,Chirivia_de_palmarito,img0825.png,468.5555755163168,217.36075382281214,455.25402866924964,233.00963246642058,470.9029073128581,211.88364629754918,455.25402866924964,208.75387056882752
labeled-data,Chirivia_de_palmarito,img1200.png,326.9332237916604,195.45232372176034,341.017214570908,179.0210011459715,261.9903774206854,186.06299653559532,269.8148167424896,192.32254799303868
labeled-data,Chirivia_de_palmarito,img1428.png,274.5094803355721,229.87985673769893,,,305.807237622789,234.57452033078144,329.28055558820165,240.0516278560444
labeled-data,Chirivia_de_palmarito,img1545.png,258.07815775978327,277.60893660070474,218.1735172185817,276.8264926685242,151.66578298324583,246.31117931348783,140.71156793271993,259.612726160555
labeled-data,Chirivia_de_palmarito,img1652.png,441.17003789000205,245.52873538130737,463.86091192323426,238.48673999168355,423.17382744985235,254.91806256747245,416.91427599240893,265.0898336858179
labeled-data,Chirivia_de_palmarito,img1680.png,425.5211592463936,222.0554174158947,433.34559856819783,204.8416509079254,455.25402866924964,216.57830989063174,469.3380194484972,235.35696426296184
labeled-data,Chirivia_de_palmarito,img1848.png,88.28782447663164,265.8722776179984,118.02069389948768,288.56315165123056,196.2650871175299,310.4715817522824,190.78797959226694,269.7844972789005
labeled-data,Chirivia_de_palmarito,img1905.png,182.96354027046272,233.00963246642064,158.70777837286963,246.31117931348783,96.89470773061629,245.52873538130743,109.41381064550305,258.8302822283746
labeled-data,Chirivia_de_palmarito,img1960.png,262.7728213528658,243.96384751694652,277.6392560642938,243.96384751694652,229.91017620128804,228.31496887333807,213.47885362549917,241.61651572040526
labeled-data,Chirivia_de_palmarito,img1995.png,319.1087844698562,253.3531747031116,294.8530225722631,264.3073897536375,299.5476861653456,243.96384751694652,,
labeled-data,Chirivia_de_palmarito,img2250.png,312.8492330124128,273.6967169398025,283.8988075217372,272.9142730076221,,,,
labeled-data,Chirivia_de_palmarito,img2436.png,342.58210243526884,249.44095504220948,326.15077985948,243.96384751694652,361.360756807599,241.61651572040526,348.8416538927122,237.70429605950315
labeled-data,Chirivia_de_palmarito,img2460.png,340.2347706387276,247.09362324566823,326.15077985948,240.83407178822486,359.79586894323813,239.269183923864,346.49432209617095,236.92185212732275
labeled-data,Chirivia_de_palmarito,img2685.png,358.2309810788773,268.2196094145396,364.49053253632064,278.39138053288514,273.7270364033917,280.73871232942633,256.5132698954224,292.47537131213267
labeled-data,Chirivia_de_palmarito,img2688.png,369.1851961294032,268.2196094145396,361.360756807599,286.21581985468936,287.8110271826393,288.56315165123056,260.4254895563245,287.78070771905016
labeled-data,Chirivia_de_palmarito,img2716.png,391.093626230455,267.4371654823592,,,313.6316769445932,287.78070771905016,,
labeled-data,Chirivia_de_palmarito,img2910.png,321.45611626639743,207.97142663664712,309.7194572836911,211.10120236536878,266.6850410137679,211.88364629754923,283.1163635895567,214.2309780940905
labeled-data,Chirivia_de_palmarito,img2940.png,289.37591504700015,215.0134220262709,295.6354665044435,216.57830989063174,262.7728213528658,215.79586595845134,246.34149877707694,220.49052955153385
labeled-data,Chirivia_de_palmarito,img3024.png,312.8492330124128,188.41032833213657,308.15456941933024,190.75766012867783,272.16214853903085,180.58588901033235,270.59726067467,191.54010406085823
labeled-data,Chirivia_de_palmarito,img3090.png,258.86060169196367,193.10499192521908,228.3452883369272,200.9294312470233,211.91396576113834,189.19277226431697,200.95975071061244,193.10499192521908
labeled-data,Chirivia_de_palmarito,img3220.png,258.07815775978327,226.75008100897728,221.3032929473034,265.0898336858179,,,,
labeled-data,Chirivia_de_palmarito,img3225.png,244.77661091271608,260.3951700927354,262.7728213528658,238.4867399916836,164.967329830313,233.00963246642064,154.0131147797871,261.9600579570963
